,제품명,가격,화면 크기,CPU 종류,운영체제(OS),화면 비율,광시야각,메모리 타입,메모리,저장 용량,저장장치 종류,GPU 칩셋,HDMI,웹캠(HD),배터리,어댑터,두께,무게,USB,ㅗ형 방향키,ㅡ형 방향키
64,ASUS ROG 제피러스 듀오 16 GX650RW-LO108W,"4,390,000",40.8cm(16인치),라이젠9-5세대,윈도우11홈,16:10,,DDR5,32GB,2TB,M.2(NVMe),RTX3070 Ti,,○,90Wh,280W,20.5mm,2.6kg,총4개,○,
65,LG전자 2022 그램16(12세대) 16ZD90Q-GX56K,"1,819,000",40.6cm(16인치),코어i5-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,,80Wh,65W,16.8mm,1.199kg,총4개,○,
66,LG전자 2021 울트라PC 15U50P-GR5SK,"790,000",39.6cm(15.6인치),코어i5-11세대,윈도우11홈,16:9,○,DDR4,8GB,256GB,M.2(NVMe),UHD Graphics,○,○,52Wh,65W,19.95mm,1.8kg,총3개,○,
67,ASUS 젠북 14X OLED UM5401QA-KN030,"1,372,000",35.56cm(14인치),라이젠9-4세대,미포함(프리도스),16:10,,DDR4,16GB,512GB,M.2(NVMe),Radeon Graphics,,○,63Wh,100W,15.9mm,1.4kg,총3개,○,
68,ASUS ROG 제피러스 듀오 16 GX650RX-LB152W,"5,590,000",40.8cm(16인치),라이젠9-5세대,윈도우11홈,16:10,,DDR5,32GB,4TB,M.2(NVMe),RTX3080 Ti,,○,90Wh,280W,20.5mm,2.55kg,총4개,○,
69,MSI GF시리즈 Sword GF66 A12UGS 블랙,"1,637,100",39.6cm(15.6인치),코어i7-12세대,미포함(프리도스),16:9,○,DDR4,16GB,512GB,M.2(NVMe),RTX3070 Ti,○,○,53.5Wh,240W,24.9mm,2.25kg,총4개,○,
70,레노버 게이밍 3i 15IMH I5 LEGEND PRO,"769,000",39.6cm(15.6인치),코어i5-10세대,미포함(프리도스),16:9,○,DDR4,8GB,256GB,M.2(NVMe),GTX1650 Ti,,○,45Wh,,24.9mm,2.2kg,총3개,○,
71,LG전자 2021 그램16 16ZD90P-GX56K,"1,249,000",40.6cm(16인치),코어i5-11세대,미포함(프리도스),16:10,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,16.8mm,1.19kg,총4개,○,
72,LG전자 2022 그램15 15ZD95P-GX56K,"1,278,990",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,○,LPDDR4x(온보드),16GB,256GB,M.2(NVMe),Iris Xe,○,○,80Wh,65W,17.4mm,1.12kg,총4개,○,
73,APPLE 2021 맥북프로14 MKGP3KH/A,"2,584,000",35.97cm(14.2인치),실리콘 M1 PRO,macOS Monterey,,,,16GB,512GB,SSD,M1 PRO 14 core,○,,70Wh,67W,15.5mm,1.6kg,총3개,○,
74,LG전자 2022 그램14 14Z95N-G.ARTMK,"957,990",35.56cm(14인치),코어i3-11세대,윈도우11홈,16:9,○,LPDDR4x(온보드),8GB,256GB,M.2(NVMe),UHD Graphics,○,○,72Wh,65W,16.8mm,999g,총4개,○,
75,LG전자 2021 울트라PC 15UD50P-GX30K WIN10,"614,750",39.6cm(15.6인치),코어i3-11세대,윈도우10,16:9,○,DDR4,8GB,128GB,M.2(NVMe),UHD Graphics,○,○,51Wh,65W,19.9mm,1.8kg,총3개,○,
76,삼성전자 갤럭시북2 프로360 NT950QED-K71AR,"2,584,060",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),32GB,1TB,M.2(NVMe),Iris Xe,,,68Wh,65W,11.9mm,1.41kg,총3개,○,
77,삼성전자 갤럭시북2 프로 NT950XEE-X71A,"2,090,000",39.6cm(15.6인치),코어i7-12세대,윈도우11홈,16:9,○,LPDDR5(온보드),16GB,512GB,M.2(NVMe),Arc A350M,○,,68Wh,65W,13.3mm,1.17kg,총3개,○,
78,LG전자 2022 그램17(12세대) 17ZD90Q-EX76K,"2,349,000",43.1cm(17인치),코어i7-12세대,미포함(프리도스),16:10,○,LPDDR5(온보드),16GB,256GB,M.2(NVMe),RTX2050,○,,90Wh,65W,17.7mm,1.435kg,총4개,○,
79,삼성전자 노트북 플러스2 NT550XDZ-AD5AW,"689,900",39.6cm(15.6인치),코어i5-11세대,미포함(프리도스),16:9,,DDR4,8GB,256GB,M.2(NVMe),Iris Xe,○,,43Wh,40W,18.8mm,1.81kg,총3개,○,
80,LG전자 2020 울트라PC 15U40N-GR56K,"784,990",39.6cm(15.6인치),라이젠5-3세대,윈도우10,16:9,○,DDR4,8GB,256GB,M.2(NVMe),Radeon Graphics,○,○,52Wh,65W,19.9mm,1.8kg,총3개,○,
